epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.4721,0.8377,1.27297,1.34537,0.54741,0.53548,0.53745,0.2781,1.43268,1.84669,2.10204,0.000553578,0.000553578,0.000553578
2,185.404,1.01781,1.21635,1.45672,0.65462,0.67752,0.70418,0.43111,1.28012,1.35338,1.86975,0.00108728,0.00108728,0.00108728
3,275.376,1.02945,1.2138,1.46704,0.65996,0.6123,0.68921,0.40195,1.37423,1.42094,2.01132,0.00159898,0.00159898,0.00159898
4,363.649,1.00634,1.1506,1.44983,0.67606,0.67487,0.72914,0.48019,1.14239,1.19423,1.73569,0.00156798,0.00156798,0.00156798
5,452.544,0.94966,1.08437,1.4039,0.70737,0.62877,0.70873,0.45452,1.15266,1.21882,1.80919,0.00153497,0.00153497,0.00153497
6,540.932,0.88861,1.0163,1.36283,0.78502,0.71196,0.80067,0.57506,0.91992,0.94662,1.51299,0.00150197,0.00150197,0.00150197
7,631.062,0.85926,0.98845,1.34768,0.79955,0.76875,0.84011,0.62948,0.83227,0.81516,1.4234,0.00146896,0.00146896,0.00146896
8,721.629,0.82975,0.94741,1.32799,0.84521,0.72623,0.83359,0.6104,0.87524,0.83505,1.51729,0.00143595,0.00143595,0.00143595
9,810.315,0.82887,0.9234,1.32318,0.85562,0.76941,0.86709,0.67092,0.75726,0.73958,1.35186,0.00140295,0.00140295,0.00140295
10,901.933,0.7985,0.87872,1.29597,0.78976,0.75625,0.83113,0.62986,0.79408,0.8322,1.36575,0.00136994,0.00136994,0.00136994
11,991.481,0.76923,0.85737,1.27506,0.80301,0.75584,0.83529,0.62784,0.82874,0.83321,1.43465,0.00133693,0.00133693,0.00133693
12,1081.61,0.76785,0.85628,1.27225,0.85558,0.76741,0.8534,0.66287,0.74086,0.73202,1.34733,0.00130393,0.00130393,0.00130393
13,1170.99,0.77175,0.83662,1.28192,0.86087,0.77466,0.86545,0.68798,0.69687,0.72051,1.2874,0.00127092,0.00127092,0.00127092
14,1261.82,0.7445,0.81922,1.25863,0.85151,0.81442,0.88086,0.69869,0.68536,0.71785,1.26456,0.00123791,0.00123791,0.00123791
15,1352.94,0.74598,0.80383,1.264,0.88794,0.78122,0.88275,0.70973,0.67932,0.66462,1.26744,0.00120491,0.00120491,0.00120491
16,1443.97,0.74698,0.79314,1.262,0.87915,0.79189,0.87663,0.71244,0.65913,0.68149,1.23212,0.0011719,0.0011719,0.0011719
17,1534.91,0.71259,0.76555,1.23971,0.86136,0.74667,0.85789,0.66315,0.71249,0.71451,1.31079,0.00113889,0.00113889,0.00113889
18,1625.5,0.71608,0.7644,1.23198,0.85244,0.81649,0.88341,0.72604,0.64385,0.65794,1.22786,0.00110589,0.00110589,0.00110589
19,1716.54,0.70368,0.76218,1.22728,0.8276,0.81586,0.88142,0.69525,0.66183,0.65904,1.25462,0.00107288,0.00107288,0.00107288
20,1807.31,0.69893,0.73993,1.22691,0.90225,0.80424,0.89428,0.73503,0.62974,0.59481,1.21247,0.00103987,0.00103987,0.00103987
21,1898.72,0.69039,0.73618,1.22226,0.88213,0.82083,0.90007,0.74959,0.6134,0.62202,1.19897,0.00100687,0.00100687,0.00100687
22,1990.15,0.68616,0.73003,1.21604,0.88015,0.81561,0.8929,0.74027,0.6246,0.60538,1.20349,0.000973861,0.000973861,0.000973861
23,2079.53,0.68714,0.72633,1.2176,0.88856,0.84317,0.9071,0.75832,0.60007,0.56226,1.18819,0.000940855,0.000940855,0.000940855
24,2170.1,0.66918,0.70596,1.20415,0.87238,0.8093,0.88778,0.73343,0.60836,0.59871,1.20604,0.000907848,0.000907848,0.000907848
25,2259.87,0.65289,0.68836,1.18999,0.89217,0.81389,0.90254,0.76048,0.57488,0.57341,1.16582,0.000874842,0.000874842,0.000874842
26,2350.25,0.65313,0.67645,1.19237,0.89461,0.83994,0.91168,0.76278,0.58667,0.54468,1.17238,0.000841835,0.000841835,0.000841835
27,2442.07,0.64905,0.67784,1.18801,0.90344,0.81409,0.91068,0.77064,0.57308,0.5568,1.1572,0.000808828,0.000808828,0.000808828
28,2533.99,0.63769,0.6758,1.18573,0.90101,0.82878,0.91127,0.77248,0.55784,0.55452,1.14193,0.000775822,0.000775822,0.000775822
29,2624.83,0.6354,0.65569,1.17684,0.8984,0.82603,0.90864,0.77844,0.54869,0.5407,1.1274,0.000742815,0.000742815,0.000742815
30,2715.47,0.62746,0.6441,1.17529,0.89887,0.84426,0.91322,0.78205,0.54551,0.52066,1.13076,0.000709809,0.000709809,0.000709809
31,2805.94,0.62567,0.63879,1.17309,0.90725,0.84037,0.91506,0.78163,0.54857,0.53468,1.13843,0.000676802,0.000676802,0.000676802
32,2896.33,0.61876,0.639,1.17222,0.90925,0.83257,0.91317,0.78608,0.53549,0.50991,1.12767,0.000643795,0.000643795,0.000643795
33,2986.83,0.60912,0.61812,1.16407,0.89272,0.85402,0.91364,0.78513,0.53821,0.52267,1.13222,0.000610789,0.000610789,0.000610789
34,3076.53,0.59691,0.61794,1.15486,0.93165,0.8117,0.91008,0.78584,0.5349,0.50238,1.13139,0.000577782,0.000577782,0.000577782
35,3166.17,0.60121,0.61871,1.15773,0.8849,0.8609,0.91899,0.79552,0.53127,0.51343,1.13235,0.000544776,0.000544776,0.000544776
36,3257.53,0.59763,0.60587,1.15322,0.90181,0.83976,0.9111,0.78191,0.52541,0.50862,1.12566,0.000511769,0.000511769,0.000511769
37,3347.15,0.58962,0.59598,1.15116,0.90378,0.84699,0.91563,0.79868,0.5218,0.49981,1.11924,0.000478762,0.000478762,0.000478762
38,3437.85,0.58073,0.59027,1.14513,0.92021,0.84799,0.91663,0.79638,0.5086,0.49808,1.10582,0.000445756,0.000445756,0.000445756
39,3526.89,0.5716,0.57672,1.13609,0.91688,0.83288,0.91233,0.80073,0.50749,0.49132,1.10283,0.000412749,0.000412749,0.000412749
40,3617.59,0.56436,0.57063,1.13693,0.91897,0.82966,0.91333,0.80451,0.49425,0.49476,1.09103,0.000379743,0.000379743,0.000379743
41,3708.45,0.4094,0.41065,1.05497,0.91985,0.83295,0.91679,0.8031,0.49037,0.49758,1.09182,0.000346736,0.000346736,0.000346736
42,3796.85,0.40509,0.38495,1.04799,0.90083,0.83536,0.91538,0.79994,0.49995,0.49251,1.10692,0.000313729,0.000313729,0.000313729
43,3884.88,0.38121,0.3634,1.02647,0.92362,0.83323,0.91848,0.81168,0.48947,0.48091,1.09543,0.000280723,0.000280723,0.000280723
44,3974.51,0.37317,0.35006,1.01796,0.91643,0.84194,0.91788,0.80693,0.48502,0.4913,1.09271,0.000247716,0.000247716,0.000247716
45,4062.67,0.3667,0.34819,1.01786,0.90535,0.85487,0.91642,0.81142,0.48055,0.48052,1.09227,0.00021471,0.00021471,0.00021471
46,4150.17,0.3624,0.3401,1.00781,0.92067,0.84164,0.91793,0.81421,0.48079,0.47649,1.09053,0.000181703,0.000181703,0.000181703
