epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9657,0.81202,2.1425,1.28813,0.68315,0.53763,0.67382,0.49445,0.92734,1.90094,1.67537,0.000546704,0.000546704,0.000546704
2,27.2667,0.87086,1.63732,1.32862,0.5428,0.57354,0.57775,0.42504,1.04771,3.41858,1.72261,0.00109146,0.00109146,0.00109146
3,39.3918,0.91722,1.60475,1.35012,0.77479,0.64862,0.70418,0.43592,1.13135,1.80602,1.75916,0.00162521,0.00162521,0.00162521
4,51.47,0.92408,1.503,1.34702,0.73356,0.68179,0.75216,0.48861,1.14632,1.87191,1.7131,0.00161749,0.00161749,0.00161749
5,63.2383,0.92733,1.43738,1.34349,0.64324,0.70177,0.6957,0.43324,1.24585,1.68001,1.84942,0.00160099,0.00160099,0.00160099
6,74.1595,0.89796,1.29995,1.34115,0.49942,0.65073,0.55026,0.34456,1.12636,2.33107,1.85736,0.00158448,0.00158448,0.00158448
7,85.8966,0.86662,1.22561,1.33103,0.71755,0.66779,0.76718,0.55576,1.01637,1.36189,1.68516,0.00156798,0.00156798,0.00156798
8,98.0654,0.85866,1.19316,1.30145,0.68704,0.70473,0.76968,0.5743,0.9192,1.21382,1.49134,0.00155148,0.00155148,0.00155148
9,110.35,0.87769,1.1921,1.3069,0.82378,0.7404,0.81973,0.59716,0.91862,1.16677,1.43538,0.00153497,0.00153497,0.00153497
10,122.429,0.85882,1.05567,1.28096,0.85468,0.73618,0.82427,0.55115,1.1042,1.10404,1.70564,0.00151847,0.00151847,0.00151847
11,134.63,0.87174,1.11334,1.29585,0.74856,0.72814,0.75428,0.54299,0.97885,1.12,1.39269,0.00150197,0.00150197,0.00150197
12,146.164,0.81308,1.02578,1.25675,0.86328,0.7429,0.82834,0.60877,0.96936,0.96951,1.56844,0.00148546,0.00148546,0.00148546
13,157.3,0.78182,0.97654,1.25579,0.8008,0.74342,0.82514,0.63478,0.91081,0.98888,1.49262,0.00146896,0.00146896,0.00146896
14,169.633,0.83319,1.01328,1.27112,0.82079,0.79577,0.82525,0.62207,0.91368,0.94773,1.43668,0.00145246,0.00145246,0.00145246
15,181.564,0.79412,0.94672,1.23734,0.83334,0.71828,0.80862,0.62307,0.87614,1.00147,1.40694,0.00143595,0.00143595,0.00143595
16,193.786,0.78112,0.89218,1.23939,0.87682,0.77046,0.8504,0.65203,0.82158,0.87031,1.34364,0.00141945,0.00141945,0.00141945
17,205.734,0.75548,0.90284,1.2344,0.86069,0.81001,0.86581,0.67471,0.8407,0.81692,1.3401,0.00140295,0.00140295,0.00140295
18,217.695,0.75317,0.86218,1.21687,0.88784,0.67601,0.79764,0.59129,0.9333,1.0428,1.414,0.00138644,0.00138644,0.00138644
19,228.779,0.72925,0.84351,1.19609,0.76219,0.79838,0.84832,0.64068,0.86795,0.93632,1.37967,0.00136994,0.00136994,0.00136994
20,240.094,0.73866,0.81975,1.20902,0.88373,0.81566,0.8914,0.71983,0.7254,0.7369,1.2223,0.00135344,0.00135344,0.00135344
21,252.249,0.70281,0.79428,1.17526,0.88987,0.77597,0.857,0.68865,0.7681,0.85908,1.23401,0.00133693,0.00133693,0.00133693
22,264.33,0.72518,0.81215,1.19893,0.92818,0.75736,0.86784,0.68959,0.76981,0.80063,1.25822,0.00132043,0.00132043,0.00132043
23,276.395,0.73042,0.83238,1.19257,0.90196,0.79004,0.86608,0.66433,0.78842,0.82544,1.32562,0.00130393,0.00130393,0.00130393
24,288.478,0.6692,0.75675,1.15966,0.90157,0.80376,0.87684,0.67616,0.80302,0.77174,1.30894,0.00128742,0.00128742,0.00128742
25,299.776,0.69586,0.76589,1.17116,0.84973,0.84939,0.8943,0.69454,0.73209,0.76028,1.21824,0.00127092,0.00127092,0.00127092
26,310.806,0.65225,0.73992,1.14253,0.87652,0.81567,0.88663,0.72403,0.74601,0.72914,1.24356,0.00125442,0.00125442,0.00125442
27,323.117,0.65913,0.75224,1.16585,0.90533,0.80814,0.88286,0.67805,0.7815,0.79531,1.30356,0.00123791,0.00123791,0.00123791
28,335.305,0.68399,0.75392,1.17694,0.89693,0.78506,0.87883,0.70562,0.76282,0.74502,1.31165,0.00122141,0.00122141,0.00122141
29,347.37,0.65781,0.70834,1.15358,0.92483,0.83122,0.90336,0.74156,0.69492,0.67476,1.17922,0.00120491,0.00120491,0.00120491
30,359.346,0.66661,0.70735,1.15482,0.91302,0.83537,0.89645,0.72302,0.74321,0.70851,1.21772,0.0011884,0.0011884,0.0011884
31,370.865,0.65018,0.67729,1.15847,0.92125,0.84082,0.90174,0.73938,0.73123,0.661,1.21914,0.0011719,0.0011719,0.0011719
32,381.962,0.62245,0.67747,1.13164,0.94068,0.82856,0.89329,0.7282,0.7277,0.71167,1.21449,0.0011554,0.0011554,0.0011554
